Customer Name,Age,Satisfaction,Ticket_Count,Avg_Response_Hours,Avg_Resolution_Hours,High_Priority_Tickets,Cluster,PCA1,PCA2,Segment
Adam Beltran,30,,1,,,1,1,0.9937363399757091,-0.6124888553829524,High Value Satisfied Customers
Adam Bennett,55,,1,1.0,,0,3,-0.5632980924852087,-0.725196227726534,
Adam Booth,68,1.0,1,10.0,12.0,0,3,-0.5096363556712865,1.8199983162440283,
Adam Carlson,39,,1,19.0,,0,0,-0.5406735619402513,0.6904075592297257,Low Engagement Customers
Adam Carroll Jr.,45,,1,11.0,,0,3,-0.5498431938053572,0.0327654497357321,
Adam Delgado,65,2.0,1,22.0,6.0,0,0,-0.7598546048241528,1.5906010286284797,Low Engagement Customers
Adam Dennis,50,1.0,1,14.0,6.0,0,0,-0.7436163060441813,0.9786396596307799,Low Engagement Customers
Adam Ellis,46,,1,17.0,,0,0,-0.5473502593731598,0.6669971425477247,Low Engagement Customers
Adam French,48,,1,8.0,,0,3,-0.5538796634093126,-0.19462305350294767,
Adam Garcia,44,5.0,1,12.0,22.0,0,6,-0.10654335101343133,0.380800935851203,
Adam Green,30,3.0,1,10.0,9.0,0,4,-0.6219416935085608,-0.7150908431802374,
Adam Hamilton,59,1.0,1,19.0,1.0,0,0,-0.9568171324192346,1.0618349085904377,Low Engagement Customers
Adam Hayes,45,,1,,,0,3,-0.5496604116958247,0.0665763002385045,
Adam Henson,28,,1,9.0,,0,4,-0.5373884462929622,-0.6059181772364389,
Adam Howard,69,,1,18.0,,0,0,-0.5651362144504782,1.3580665205841214,Low Engagement Customers
Adam Jensen,61,,1,,,1,1,0.9690248902546921,0.18223904124185047,High Value Satisfied Customers
Adam Johnson,48,1.0,1,4.0,5.0,0,3,-0.7892591354840913,-0.2178976154647192,
Adam Jones MD,53,3.0,1,14.0,4.0,0,3,-0.8468508757636387,-0.3744187730596307,
Adam Lee,43,4.0,1,14.0,16.0,0,6,-0.34650351789517436,0.3564404996770505,
Adam Lopez,28,3.0,1,13.0,2.0,0,4,-0.9109779400729658,-1.3786389035965043,
Adam Martin,32,,1,19.0,,0,0,-0.5350935571645378,0.510952872895093,Low Engagement Customers
Adam Matthews,65,,1,,,0,3,-0.5656032824835776,0.5793039754803129,
Adam Morales,41,4.0,1,15.0,19.0,0,6,-0.2190999247896703,0.7994172611256312,
Adam Morgan,53,,1,5.0,,1,1,0.9719291784886757,-0.6652581884075475,High Value Satisfied Customers
Adam Nelson,21,,1,2.0,,1,1,0.995792732763288,-1.7899201233193918,High Value Satisfied Customers
Adam Nunez,47,,1,17.0,,0,0,-0.5481474029125475,0.6926335263098151,Low Engagement Customers
Adam Pope,55,,1,22.0,,0,0,-0.5517828195846612,1.4048873539481237,Low Engagement Customers
Adam Powers,22,,1,,,1,1,1.00011348829081,-0.8175799254796757,High Value Satisfied Customers
Adam Reeves,46,2.0,1,19.0,3.0,1,1,0.6598247223210078,0.11187570596926527,High Value Satisfied Customers
Adam Silva,69,,1,22.0,,0,0,-0.5629428291360883,1.7637967266173895,Low Engagement Customers
Adam Smith,42,,1,9.0,,1,1,0.9828911427363298,-0.541528203757274,High Value Satisfied Customers
Adrian Curry,23,,1,19.0,,0,0,-0.527919265310049,0.2802254190362791,Low Engagement Customers
Adrian Ford,35,2.0,1,5.0,9.0,1,1,0.9114383720501694,-0.8045462816012785,High Value Satisfied Customers
Adrian Glover,19,,1,5.0,,0,4,-0.5324075397528634,-1.2423758371285207,
Adrian Harmon,63,5.0,1,13.0,18.0,0,6,-0.28815534486404076,0.4455688088866454,
Adrian Knight,40,,1,,,0,4,-0.5456746939988865,-0.06160561857194756,
Adrian Morris,50,1.0,1,15.0,17.0,0,7,-0.2837777741557694,2.520401128508727,
Adrian Valenzuela,19,,1,6.0,,0,4,-0.5318591934242659,-1.1409432856202038,
Adrian Williams,39,,1,,,0,4,-0.5448775504594988,-0.08724200233403799,
Adriana Mason,41,,1,,,0,4,-0.5464718375382741,-0.03596923480985717,
Adriana Sanders,60,5.0,1,19.0,15.0,0,6,-0.40773479597242407,0.5844379891858318,
Adriana Warner,18,,1,,,1,1,1.0033020624483606,-0.9201254605280375,High Value Satisfied Customers
Adrienne Foley,63,,1,0.0,,0,3,-0.5702235871289073,-0.6215377091381276,
Adrienne Johns,29,,1,,,0,4,-0.5369061150656224,-0.34360583995494215,
Adrienne Mcfarland,42,,1,,,0,4,-0.5472689810776618,-0.010332851047766755,
Adrienne Smith MD,22,,1,3.0,,1,1,0.9955439355524978,-1.6628511880489842,High Value Satisfied Customers
Aimee Vasquez,43,1.0,1,21.0,2.0,0,0,-0.901212489899127,0.9854568639017733,Low Engagement Customers
Alan Barton,48,,1,,,0,3,-0.5520518423139876,0.14348545152477576,
Alan Ford,64,,1,6.0,,0,3,-0.56773065269671,0.012693983673864857,
Alan Garcia,22,,1,,,0,4,-0.5313261102899088,-0.523060526289575,
Alan Krueger,39,,1,18.0,,0,0,-0.5412219082688489,0.5889750077214088,Low Engagement Customers
Alan Smith,45,,1,,,0,3,-0.5496604116958247,0.0665763002385045,
Alan Vang,39,3.0,1,15.0,18.0,0,7,-0.25059137462566855,1.201250300613495,
Albert Escobar,52,,1,22.0,,0,0,-0.5493913889664983,1.3279782026618525,Low Engagement Customers
Alec Robinson,28,,1,22.0,,1,1,1.0011796545595242,0.4181855931815816,High Value Satisfied Customers
Alejandra Hernandez,69,,1,,,0,3,-0.5687918566411282,0.6818495105286746,
Alejandro Delgado,49,,1,,,1,1,0.9785906127273438,-0.12539756390323456,High Value Satisfied Customers
Alex Allen,46,,1,13.0,,0,3,-0.5495436446875499,0.2612669365144566,
Alex Chaney,37,,1,,,0,4,-0.5432832633807235,-0.13851476985821884,
Alex Collins,52,,1,,,0,3,-0.5552404164715382,0.2460309865731374,
Alex Faulkner,38,,1,15.0,,1,1,0.9893697948654654,-0.03547842975573348,High Value Satisfied Customers
Alex Henderson,21,,1,19.0,,0,0,-0.5263249782312737,0.22895265151209826,Low Engagement Customers
Alex Hill,25,4.0,1,0.0,9.0,0,4,-0.6321073554155344,-2.4416430765740524,
Alex Jones,23,,1,,,0,4,-0.5321232538292965,-0.4974241425274846,
Alex Rhodes,65,,1,20.0,,0,0,-0.5608509476357326,1.4583860885523938,Low Engagement Customers
Alex Thomas,43,1.0,1,18.0,10.0,1,1,0.9626112955574829,1.4341517500919068,High Value Satisfied Customers
Alex Valdez,27,,1,,,0,4,-0.5353118279868471,-0.39487860747912296,
Alexa Alvarado,27,,1,,,0,4,-0.5353118279868471,-0.39487860747912296,
Alexa Boyd,50,,1,,,1,1,0.9777934691879562,-0.09976118014114416,High Value Satisfied Customers
Alexa Wilson,70,2.0,1,22.0,0.0,1,1,0.5170773566633656,0.6386295933199418,High Value Satisfied Customers
Alexander Andrade,27,4.0,1,7.0,6.0,0,2,-0.7551241778922584,-2.073159425956097,Frequent Support Users
Alexander Blake,37,,1,,,0,4,-0.5432832633807235,-0.13851476985821884,
Alexander Carroll,67,1.0,1,0.0,19.0,0,7,-0.22204710278890105,1.696609364815805,
Alexander Duarte,68,,1,,,0,3,-0.5679947131017405,0.6562131267665842,
Alexander Garcia,69,,1,2.0,,0,3,-0.5739097557080381,-0.26485430354895106,
Alexander Gonzales,59,4.0,1,4.0,13.0,1,1,1.0414373610712362,-0.9350392518672184,High Value Satisfied Customers
Alexander Gonzalez,25,,1,19.0,,0,0,-0.5295135523888242,0.33149818656046,Low Engagement Customers
Alexander Guzman,65,3.0,1,9.0,21.0,0,7,-0.14934622492320115,1.6520179468423881,
Alexander Henry,25,,1,,,0,4,-0.5337175409080718,-0.4461513750033039,
Alexander Lee,20,5.0,1,0.0,6.0,0,2,-0.7620505137346643,-3.5466867723491418,Frequent Support Users
Alexander Martin,33,,1,,,0,4,-0.5400946892231729,-0.24106030490658048,
Alexander Moore,38,,1,,,0,4,-0.5440804069201112,-0.11287838609612842,
Alexander Nunez,33,,1,,,0,4,-0.5400946892231729,-0.24106030490658048,
Alexander Perez,64,2.0,1,6.0,22.0,0,7,-0.09977255081895871,2.0370677005436875,
Alexander Ramos,20,,1,10.0,,0,4,-0.5304629516492635,-0.7095766958248453,
Alexander Ritter,29,2.0,1,11.0,20.0,1,7,1.3788014968178945,1.090559642245711,
Alexander Walton,41,,1,8.0,,0,4,-0.5482996586335991,-0.37407773983758064,
Alexandra Blake,41,4.0,1,15.0,1.0,0,2,-0.9706656829784576,-1.557484603661036,Frequent Support Users
Alexandra Flores,70,1.0,1,3.0,18.0,1,7,1.2668924509267372,1.6523577789487782,
Alexandra Gonzalez,26,3.0,1,1.0,19.0,0,4,-0.20615170398128374,-0.42113941692197077,
Alexandra Hall,18,,1,,,0,4,-0.5281375361323583,-0.6256060613379367,
Alexandra Harvey,66,,1,,,0,3,-0.5664004260229653,0.6049403592424033,
Alexandra Jones,67,,1,12.0,,1,1,0.9646075932374312,0.4036790448199375,High Value Satisfied Customers
Alexandra Leblanc,36,,1,,,0,4,-0.5424861198413359,-0.16415115362030927,
Alexandra Robinson,36,,1,22.0,,0,0,-0.5366370923362959,0.9177960624684057,Low Engagement Customers
Alexandra Sanchez,62,,1,19.0,,0,0,-0.5590078633461673,1.2800443857578054,Low Engagement Customers
Alexandra Solis,46,,1,,,0,3,-0.5504575552352123,0.09221268400059492,
Alexandra Wells,19,,1,,,0,4,-0.5289346796717459,-0.5999696775758463,
Alexandria Burke,70,,1,,,0,3,-0.5695890001805158,0.7074858942907649,
Alexandria Knight,37,,1,23.0,,0,0,-0.536885889547086,1.0448649977388131,Low Engagement Customers
Alexandria Mendoza,47,,1,18.0,,1,1,0.9838405419967691,0.4995466786280313,High Value Satisfied Customers
Alexandria Rivera,68,,1,20.0,,0,0,-0.5632423782538956,1.535295239838665,Low Engagement Customers
Alexandria Wilson,21,3.0,1,12.0,22.0,0,7,-0.07087321697164174,0.9592537083235091,
Alexis Allen,62,3.0,1,2.0,5.0,0,3,-0.8188516703285871,-1.229942944812473,
Alexis Baker,52,,1,7.0,,0,3,-0.5576165838954608,-0.1935100699629031,
Alexis Barrett,35,3.0,1,21.0,14.0,0,0,-0.4111273354273746,1.1835441046624426,Low Engagement Customers
Alexis Bell,18,3.0,1,14.0,19.0,0,4,-0.19264605339441507,0.6923926825894273,
Alexis Dodson,62,2.0,1,21.0,15.0,0,0,-0.3822286414401938,2.590710258227225,Low Engagement Customers
Alexis Hodge,48,3.0,1,0.0,6.0,0,3,-0.7670347002016447,-1.6607784280102247,
Alexis Ingram,49,5.0,1,8.0,18.0,0,6,-0.27973706695560124,-0.42050332132420565,
Alexis Lynn,69,,1,19.0,,1,1,0.9668517304588383,1.1649796729023376,High Value Satisfied Customers
Alexis Savage,43,,1,19.0,,0,0,-0.5438621360978019,0.7929530942780875,Low Engagement Customers
Alexis Wagner,18,4.0,1,4.0,10.0,0,4,-0.5825803120927205,-2.084428564387269,
Alexis Warren,32,,1,17.0,,0,0,-0.5361902498217328,0.3080877698784589,Low Engagement Customers
Alfred Ortiz,63,5.0,1,19.0,15.0,0,6,-0.410126226590587,0.6613471404721031,
Alfred Vincent,46,,1,,,0,3,-0.5504575552352123,0.09221268400059492,
Alfred Williams,53,,1,12.0,,0,3,-0.5556719957918609,0.33928907134077246,
Alicia Bell,21,4.0,1,21.0,11.0,0,0,-0.5338962018920156,-0.1522270449714604,Low Engagement Customers
Alicia Johnson,67,2.0,2,11.0,16.0,1,5,3.811219070985692,1.559681323733352,
Alicia Lane,50,,1,,,0,3,-0.5536461293927629,0.19475821904895657,
Alicia Martin,53,4.0,1,5.0,22.0,0,6,-0.10888815085016575,0.4855453286519904,
Alicia Medina,37,,1,23.0,,0,0,-0.536885889547086,1.0448649977388131,Low Engagement Customers
Alicia Patterson,21,2.0,1,12.0,4.0,0,4,-0.8137710588424921,-0.8136033569629653,
Alicia Stewart,29,,1,22.0,,0,0,-0.5310570875605823,0.7383413761337728,Low Engagement Customers
Alisha Jackson,60,,1,,,0,3,-0.5616175647866394,0.45112205666986077,
Alisha Vazquez,67,,1,20.0,,0,0,-0.5624452347145079,1.5096588560765747,Low Engagement Customers
Alison Carroll,22,3.0,1,11.0,7.0,0,4,-0.698523505330283,-1.08062734674494,
Alison Clark,28,3.0,1,4.0,18.0,0,4,-0.24785460530697692,-0.19650798736098685,
Alison Duran,52,,1,,,0,3,-0.5552404164715382,0.2460309865731374,
Alison Ford,69,,1,10.0,,0,3,-0.5695229850792582,0.5466061085175852,
Alison Gates,59,1.0,1,14.0,17.0,0,7,-0.2915004123388557,2.6496960308592237,
Alison Gibson,47,1.0,1,18.0,9.0,0,0,-0.6137705304134972,1.700277691842221,Low Engagement Customers
Alison Hall,56,,1,,,1,1,0.9730106079516303,0.054057122431398374,High Value Satisfied Customers
Alison Larsen,57,4.0,1,10.0,22.0,0,6,-0.10933499336472886,1.0952536212419373,
Alison Thompson,59,,1,,,0,3,-0.5608204212472517,0.42548567290777034,
Alison Williams,36,,1,4.0,,1,1,0.9849322723296682,-1.2025092638714017,High Value Satisfied Customers
Allen Anderson Jr.,59,,1,15.0,,1,1,0.9726297805383248,0.5028856292481654,High Value Satisfied Customers
Allen Davis,19,,1,,,0,4,-0.5289346796717459,-0.5999696775758463,
Allen Guzman,58,,1,,,0,3,-0.5600232777078641,0.3998492891456799,
Allen Johnson,47,,1,,,1,1,0.9801848998061191,-0.17667033142741542,High Value Satisfied Customers
Allen Jones,59,,1,,,0,3,-0.5608204212472517,0.42548567290777034,
Allen Patterson DDS,47,,1,,,0,3,-0.5512546987746,0.11784906776268533,
Allen Scott,29,,1,,,0,4,-0.5369061150656224,-0.34360583995494215,
Allen Singleton,43,,1,,,0,4,-0.5480661246170494,0.015303532714323676,
Allen Sosa,39,,1,12.0,,0,4,-0.5445119862404338,-0.019620301328493368,
Allison Castro,33,,1,5.0,,0,4,-0.5435675493042904,-0.883466464459255,
Allison Edwards,23,,1,16.0,,0,4,-0.5295643042958414,-0.024072235488671895,
Allison Hart,67,2.0,1,20.0,12.0,1,1,1.0194159334168582,1.9301232488748148,High Value Satisfied Customers
Allison Hartman,69,5.0,1,14.0,6.0,0,2,-0.7934336985642939,-0.8704482468902731,Frequent Support Users
Allison Johnson,18,,1,,,1,1,1.0033020624483606,-0.9201254605280375,High Value Satisfied Customers
Allison Jones,40,,1,0.0,,0,4,-0.5518892857229915,-1.2111745356662071,
Allison King,67,,2,16.0,,1,5,3.59652462014719,0.8281043193340036,
Allison Knapp,57,3.0,1,10.0,19.0,0,7,-0.2259280367449233,1.2864814432776854,
Allison Lewis,25,,1,,,0,4,-0.5337175409080718,-0.4461513750033039,
Allison Morales,69,,1,,,0,3,-0.5687918566411282,0.6818495105286746,
Allison Nicholson,30,,1,,,1,1,0.9937363399757091,-0.6124888553829524,High Value Satisfied Customers
Allison Peterson,35,1.0,1,3.0,2.0,0,4,-0.9047055754987807,-1.0454201333446564,
Allison Sanchez,38,2.0,1,13.0,5.0,1,1,0.7464190991299448,-0.4399326882010638,High Value Satisfied Customers
Allison Stevenson,21,2.0,1,14.0,15.0,0,4,-0.35338418062548277,0.8295906634232987,
Allison Sullivan,61,3.0,1,17.0,21.0,0,7,-0.1417708801368706,2.360932823860563,
Allison Webster,41,,1,7.0,,0,4,-0.5488480049621965,-0.4755102913458977,
Alvin Frazier,62,,1,,,0,3,-0.5632118518654147,0.5023948241940417,
Alvin Stephenson,21,4.0,1,22.0,10.0,0,0,-0.5751015087961284,-0.18173348595129146,Low Engagement Customers
Alyssa Baxter,60,4.0,1,5.0,23.0,0,6,-0.07271450239316891,0.7959390074747714,
Alyssa Brown,67,1.0,1,18.0,11.0,0,0,-0.5462060947358293,2.4748833520603264,Low Engagement Customers
Alyssa Bryant,25,2.0,1,15.0,19.0,1,7,1.3424298030571247,1.2628053207424692,
Alyssa Bush,64,,1,,,0,3,-0.56480613894419,0.5536675917182224,
Alyssa Hughes,59,,1,16.0,,0,3,-0.5582614717137968,0.8988375799465831,
Alyssa Lucas,69,,1,22.0,,1,1,0.9684967694446308,1.4692773274272888,High Value Satisfied Customers
Alyssa Medina,63,4.0,1,5.0,1.0,1,2,0.5377532944497584,-2.3023290751683176,Frequent Support Users
Alyssa Moore,49,3.0,1,12.0,13.0,0,3,-0.4689761151688896,0.4986215212687071,
Alyssa Reynolds,39,,1,,,0,4,-0.5448775504594988,-0.08724200233403799,
Alyssa Spence,65,,1,,,0,3,-0.5656032824835776,0.5793039754803129,
Alyssa Vazquez,58,,1,7.0,,0,3,-0.5623994451317866,-0.039691767390360594,
Alyssa Williams,36,,1,1.0,,0,4,-0.5481523652368434,-1.2122875192062519,
Amanda Anderson,56,,1,13.0,,0,3,-0.5575150800814264,0.5176307741353608,
Amanda Bond,67,,1,23.0,,1,1,0.9706394028520037,1.519437111411425,High Value Satisfied Customers
Amanda Bradford,21,,1,,,0,4,-0.5305289667505212,-0.5486969100516654,
Amanda Brown,52,,1,,,0,3,-0.5552404164715382,0.2460309865731374,
Amanda Burton,40,1.0,1,0.0,11.0,0,4,-0.5345534530871178,-0.043084936665821846,
Amanda Cherry,49,1.0,1,5.0,3.0,1,1,0.6584243594204168,-0.6472260643607091,High Value Satisfied Customers
Amanda Copeland,52,,1,,,1,1,0.9761991821091809,-0.04848841261696332,High Value Satisfied Customers
Amanda Davis,42,2.5,2,11.5,8.0,0,5,1.9616190500333104,-0.07552693502993106,
Amanda Evans,60,,1,,,0,3,-0.5616175647866394,0.45112205666986077,
Amanda Flores,65,,1,3.0,,1,1,0.961266763358829,-0.5604866862790965,High Value Satisfied Customers
Amanda Flores DVM,29,,1,,,0,4,-0.5369061150656224,-0.34360583995494215,
Amanda Franklin,40,,1,,,0,4,-0.5456746939988865,-0.06160561857194756,
Amanda Frazier,33,,1,17.0,,0,0,-0.5369873933611204,0.3337241536405493,Low Engagement Customers
Amanda Garrett,41,,1,19.0,,0,0,-0.5422678490190266,0.7416803267539066,Low Engagement Customers
Amanda Garrison,69,5.0,1,7.0,22.0,0,6,-0.12921367114110996,0.5145477723618785,
Amanda Gilmore,63,5.0,1,18.0,17.0,0,6,-0.3271672664537637,0.8217925739400823,
Amanda Gray,46,,1,1.0,,1,1,0.9753157979499992,-1.2504430807754483,High Value Satisfied Customers
Amanda Greene,68,2.0,1,11.0,19.0,0,7,-0.22548035303165306,2.25395901566919,
Amanda Hall DDS,70,,1,,,0,3,-0.5695890001805158,0.7074858942907649,
Amanda Hartman,70,3.0,1,18.0,19.0,0,7,-0.2319041321281827,2.431214844251397,
Amanda Hayes,45,5.0,1,10.0,12.0,0,6,-0.525973719537118,-1.1058177082848222,
Amanda Higgins,63,,1,21.0,,0,0,-0.5587083142283599,1.50854587253653,Low Engagement Customers
Amanda Jenkins,70,,1,2.0,,1,1,0.9567326993332932,-0.5337373189769614,High Value Satisfied Customers
Amanda Johnson,55,,2,0.0,,1,5,3.5973168013622816,-1.1024531099441541,
Amanda Jones,55,,1,,,0,3,-0.5576318470897011,0.32294013785940867,
Amanda Jordan,59,,1,14.0,,1,1,0.9720814342097273,0.40145307773984823,High Value Satisfied Customers
Amanda King,56,,1,16.0,,0,0,-0.5558700410956339,0.8219284286603119,Low Engagement Customers
Amanda Lewis,48,,1,11.0,,0,3,-0.5522346244235201,0.10967460102200335,
Amanda Lopez,52,,1,,,0,3,-0.5552404164715382,0.2460309865731374,
Amanda Martinez,60,,1,,,0,3,-0.5616175647866394,0.45112205666986077,
Amanda Mccoy,44,,1,0.0,,0,3,-0.555077859880542,-1.1086290006178454,
Amanda Mcdowell,26,,1,,,0,4,-0.5345146844474594,-0.42051499124121344,
Amanda Miller,31,,1,19.0,,0,0,-0.5342964136251501,0.48531648913300246,Low Engagement Customers
Amanda Munoz,19,,1,8.0,,0,4,-0.5307625007670709,-0.9380781826035698,
Amanda Nguyen,30,3.0,1,13.0,2.0,1,1,0.618867371428978,-1.6218855352624244,High Value Satisfied Customers
Amanda Perkins,69,,1,,,1,1,0.9626477419395909,0.3873301113385738,High Value Satisfied Customers
Amanda Perry,66,,1,,,1,1,0.9650391725577538,0.3104209600523025,High Value Satisfied Customers
Amanda Potter,28,,2,0.0,,1,5,3.6188396769257483,-1.794635471520595,
Amanda Pratt,29,,1,11.0,,0,4,-0.5370888971751548,-0.37741669045771453,
Amanda Ramirez,61,,1,,,1,1,0.9690248902546921,0.18223904124185047,High Value Satisfied Customers
Amanda Robertson,18,2.5,2,15.0,12.0,0,5,2.1496843200595475,0.18796975491160117,
Amanda Salazar,35,,1,,,0,4,-0.5416889763019482,-0.18978753738239967,
Amanda Sanchez,30,4.0,1,14.0,14.0,0,6,-0.4196479583485557,-0.23871047420642139,
Amanda Scott,66,,1,,,0,3,-0.5664004260229653,0.6049403592424033,
Amanda Simpson,58,5.0,1,18.0,10.0,1,2,0.9159824771949209,-0.5174816914775077,Frequent Support Users
Amanda Smith,30,4.5,3,16.333333333333332,21.5,0,5,5.149897240695271,0.7253756601855955,
Amanda Stevens,43,,1,,,0,4,-0.5480661246170494,0.015303532714323676,
Amanda Suarez,65,4.0,1,4.0,21.0,1,6,1.3706837256965936,0.2662909906105095,
Amanda Thompson,47,1.0,1,12.0,10.0,0,7,-0.5753069551523717,1.222621375280467,
Amanda Walsh,61,5.0,1,16.0,15.0,0,6,-0.4101769784976042,0.3057767184229711,
Amanda Ward,59,1.0,1,7.0,23.0,1,7,1.4866226813379433,2.430782726039792,
Amanda Waters,65,,1,4.0,,1,1,0.9618151096874265,-0.4590541347707795,High Value Satisfied Customers
Amanda Wells,52,1.0,1,11.0,16.0,0,7,-0.3293190997816451,2.0350046975114915,
Amanda Wiggins,26,,1,,,0,4,-0.5345146844474594,-0.42051499124121344,
Amanda Wilson,18,,1,12.0,,1,1,1.0036676266674258,-0.8525037595224929,High Value Satisfied Customers
Amanda Young,21,,1,,,0,4,-0.5305289667505212,-0.5486969100516654,
Amber Black,64,,1,,,0,3,-0.56480613894419,0.5536675917182224,
Amber Chapman,18,,1,21.0,,0,0,-0.5228368549559158,0.3549086032424611,Low Engagement Customers
Amber Chen,50,,1,11.0,,0,3,-0.5538289115022954,0.16094736854618416,
Amber Cherry,51,,1,15.0,,0,0,-0.5524326697272931,0.5923139583415428,Low Engagement Customers
Amber Conley,51,,1,10.0,,0,3,-0.5551744013702806,0.08515120079995757,
Amber Dixon,55,,1,,,0,3,-0.5576318470897011,0.32294013785940867,
Amber Erickson,23,5.0,1,18.0,5.0,1,2,0.7351142349099364,-2.0694500855914133,Frequent Support Users
Amber Gentry,18,5.0,1,0.0,2.0,0,2,-0.9274708395867306,-4.121715509825917,Frequent Support Users
Amber Harris,63,4.0,1,3.0,22.0,0,6,-0.11795627890123724,0.5390440632562608,
Amber Heath,24,4.0,2,7.5,6.0,1,5,3.4087046660662916,-2.3751766321975127,
Amber Henson,52,,1,,,0,3,-0.5552404164715382,0.2460309865731374,
Amber Hernandez,35,,1,3.0,,0,4,-0.5462585290402607,-1.0350587999517082,
Amber Herrera,26,4.0,1,0.0,18.0,0,6,-0.25712161986052845,-1.2375557604186287,
Amber Hill,41,,1,,,1,1,0.984967761042445,-0.3304886339999579,High Value Satisfied Customers
Amber Jenkins,22,,1,20.0,,0,0,-0.5265737754420639,0.35602158678250584,Low Engagement Customers
Amber Long,52,1.0,1,1.0,11.0,0,3,-0.5435708292311721,0.3659842199875801,
Amber Miller,19,,1,,,0,4,-0.5289346796717459,-0.5999696775758463,
Amber Nelson,63,4.0,1,11.0,5.0,0,2,-0.8233816132285341,-0.875458396975722,Frequent Support Users
Amber Nguyen,55,3.0,1,15.0,7.0,0,0,-0.7226358568156853,0.17110352343731167,Low Engagement Customers
Amber Palmer,20,,1,8.0,,0,4,-0.5315596443064585,-0.9124417988414794,
Amber Phillips,44,1.0,1,21.0,15.0,0,7,-0.35921214141327934,2.71330015000979,
Amber Shaw,26,,1,10.0,,0,4,-0.5352458128855894,-0.5557583932523028,
Amber Stewart,42,3.0,1,19.0,13.0,0,0,-0.4595576860929935,1.0291946954922935,Low Engagement Customers
Amber West,53,3.0,1,16.0,15.0,0,0,-0.38646399754662936,1.2687752473266334,Low Engagement Customers
Amber White,23,,1,,,1,1,0.9993163447514226,-0.7919435417175853,High Value Satisfied Customers
Amber Williams,40,3.0,1,1.0,10.0,1,1,0.9383450059536147,-1.5352003758361392,High Value Satisfied Customers
Amber Yates,22,,1,,,1,1,1.00011348829081,-0.8175799254796757,High Value Satisfied Customers
Amber Zamora,40,3.0,1,3.0,15.0,0,4,-0.3832296338063574,-0.38312091118866354,
Amy Anderson,40,,1,2.0,,0,4,-0.5507925930657964,-1.008309432649573,
Amy Atkins,56,,1,,,1,1,0.9730106079516303,0.054057122431398374,High Value Satisfied Customers
